mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__learning_rate,param_optimizer,param_model__dropout_rate,param_model__dense_units,param_epochs,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
73.54061231613159,2.4857193552533587,0.45890164375305176,0.06424467120094718,0.0001,rmsprop,0.2,64,30,32,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'rmsprop', 'model__dropout_rate': 0.2, 'model__dense_units': 64, 'epochs': 30, 'batch_size': 32}",0.8707692307692307,0.8553846153846154,0.8572895277207392,0.86652977412731,0.8347022587268994,0.8569350813457589,0.012492155925814945,6,1.0,0.9997433923530922,0.9997434581836839,1.0,1.0,0.9998973701073552,0.00012569543639203822
48.05365061759949,1.3421804469433019,0.4434843063354492,0.021022012050478836,0.0001,adam,0.5,100,10,32,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'adam', 'model__dropout_rate': 0.5, 'model__dense_units': 100, 'epochs': 10, 'batch_size': 32}",0.8584615384615385,0.8451282051282051,0.8583162217659137,0.8655030800821355,0.8388090349075975,0.8532436160690781,0.009772098327210694,8,0.9987169617654607,0.9982037464716449,1.0,0.9974345818368394,0.9984607491021037,0.9985632078352097,0.0008368415505880771
73.59510340690613,2.1157158934101368,0.4029080867767334,0.0319754580078987,0.001,adam,0.2,64,30,32,"{'optimizer__learning_rate': 0.001, 'optimizer': 'adam', 'model__dropout_rate': 0.2, 'model__dense_units': 64, 'epochs': 30, 'batch_size': 32}",0.8728205128205129,0.8461538461538461,0.851129363449692,0.8757700205338809,0.8552361396303901,0.8602219765176644,0.011882013831907007,4,1.0,0.9989735694123685,1.0,1.0,0.9997434581836839,0.9997434055192105,0.00039753485806558566
140.01955075263976,2.711857261219692,0.43073554039001466,0.02593766837618265,0.0001,adam,0.2,100,30,32,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'adam', 'model__dropout_rate': 0.2, 'model__dense_units': 100, 'epochs': 30, 'batch_size': 32}",0.8789743589743589,0.8676923076923077,0.8726899383983573,0.8952772073921971,0.8572895277207392,0.8743846680355919,0.01262907028702338,1,0.9997433923530922,1.0,0.9994869163673679,0.9994869163673679,0.9992303745510518,0.999589519927776,0.0002616146004354224
72.07212839126586,0.19893894256401765,0.44554810523986815,0.10006577245219747,0.0001,adam,0.5,64,30,32,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'adam', 'model__dropout_rate': 0.5, 'model__dense_units': 64, 'epochs': 30, 'batch_size': 32}",0.8451282051282051,0.8297435897435897,0.8501026694045175,0.8501026694045175,0.8367556468172485,0.8423665560996157,0.00797675605857399,10,0.9994867847061842,0.9994867847061842,1.0,0.9997434581836839,1.0,0.9997434055192105,0.00022951685832344916
89.01780762672425,0.5993812208435223,0.41813368797302247,0.0085267530410436,0.01,adam,0.2,100,20,32,"{'optimizer__learning_rate': 0.01, 'optimizer': 'adam', 'model__dropout_rate': 0.2, 'model__dense_units': 100, 'epochs': 20, 'batch_size': 32}",0.8584615384615385,0.8369230769230769,0.8747433264887063,0.8860369609856262,0.86652977412731,0.8645389353972515,0.01655190945706709,3,0.9984603541185527,0.9997433923530922,1.0,1.0,1.0,0.9996407492943289,0.0005985067379877216
46.49335494041443,0.9085158240565552,0.39966468811035155,0.052685477479295445,0.0001,rmsprop,0.2,64,20,32,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'rmsprop', 'model__dropout_rate': 0.2, 'model__dense_units': 64, 'epochs': 20, 'batch_size': 32}",0.8564102564102564,0.8594871794871795,0.8572895277207392,0.8583162217659137,0.8490759753593429,0.8561158321486863,0.0036669204491095644,7,0.9997433923530922,0.9997433923530922,0.9997434581836839,0.9997434581836839,0.9994869163673679,0.9996921234881839,0.00010260356463177675
98.05451974868774,5.222186923976638,0.6002187252044677,0.22185329067864112,0.01,rmsprop,0.2,100,20,32,"{'optimizer__learning_rate': 0.01, 'optimizer': 'rmsprop', 'model__dropout_rate': 0.2, 'model__dense_units': 100, 'epochs': 20, 'batch_size': 32}",0.88,0.8635897435897436,0.8624229979466119,0.8788501026694046,0.8572895277207392,0.8684304743852997,0.009231096542742257,2,1.0,0.9997433923530922,0.9997434581836839,0.9987172909184197,0.9984607491021037,0.9993329781114599,0.0006199525955515513
49.74309177398682,4.299837517193263,0.4356804370880127,0.013905855361580295,0.001,rmsprop,0.5,100,10,32,"{'optimizer__learning_rate': 0.001, 'optimizer': 'rmsprop', 'model__dropout_rate': 0.5, 'model__dense_units': 100, 'epochs': 10, 'batch_size': 32}",0.8625641025641025,0.8564102564102564,0.8470225872689938,0.8788501026694046,0.8501026694045175,0.8589899436634549,0.011278799375275868,5,0.9989735694123685,0.9989735694123685,0.9989738327347357,0.9989738327347357,0.9989738327347357,0.9989737274057887,1.2900108752208718e-07
70.8529305934906,0.9886879191880408,0.4012016773223877,0.028123631564344668,0.01,adam,0.5,64,30,32,"{'optimizer__learning_rate': 0.01, 'optimizer': 'adam', 'model__dropout_rate': 0.5, 'model__dense_units': 64, 'epochs': 30, 'batch_size': 32}",0.8492307692307692,0.8430769230769231,0.8429158110882957,0.8603696098562629,0.8490759753593429,0.8489338177223187,0.006346736948343196,9,1.0,1.0,1.0,0.9997434581836839,1.0,0.9999486916367367,0.00010261672652642773
